373.15	0.00
349.64	0.01
343.73	0.02
341.44	0.03
340.32	0.04
339.68	0.05
339.28	0.06
339.00	0.07
338.81	0.08
338.67	0.09
338.55	0.10
338.46	0.11
338.39	0.12
338.32	0.13
338.27	0.14
338.22	0.15
338.17	0.16
338.13	0.17
338.09	0.18
338.05	0.19
338.02	0.20
337.99	0.21
337.95	0.22
337.92	0.23
337.89	0.24
337.86	0.25
337.83	0.26
337.80	0.27
337.77	0.28
337.75	0.29
337.72	0.30
337.69	0.31
337.66	0.32
337.63	0.33
337.60	0.34
337.57	0.35
337.54	0.36
337.51	0.37
337.48	0.38
337.45	0.39
337.42	0.40
337.39	0.41
337.36	0.42
337.33	0.43
337.30	0.44
337.27	0.45
337.24	0.46
337.21	0.47
337.17	0.48
337.14	0.49
337.11	0.50
337.08	0.51
337.04	0.52
337.01	0.53
336.98	0.54
336.94	0.55
336.91	0.56
336.88	0.57
336.84	0.58
336.81	0.59
336.77	0.60
336.74	0.61
336.71	0.62
336.67	0.63
336.64	0.64
336.61	0.65
336.57	0.66
336.54	0.67
336.51	0.68
336.47	0.69
336.44	0.70
336.41	0.71
336.38	0.72
336.35	0.73
336.32	0.74
336.29	0.75
336.27	0.76
336.24	0.77
336.22	0.78
336.20	0.79
336.18	0.80
336.17	0.81
336.16	0.82
336.15	0.83
336.15	0.84
336.15	0.85
336.16	0.86
336.18	0.87
336.20	0.88
336.24	0.89
336.28	0.90
336.34	0.91
336.42	0.92
336.51	0.93
336.62	0.94
336.76	0.95
336.92	0.96
337.12	0.97
337.36	0.98
337.65	0.99
338.00	1.00
